record_type,record_id,parent_id,name,email,department_id,department,designation,date,period,category,type,status,priority,amount,monthly_limit,used_amount,remaining_amount,annual_budget,monthly_budget,actual_spend,basic_salary,hra,other_allowances,gross_salary,tds,other_deductions,net_salary,reported_salary,reported_tds,difference,vendor_id,vendor_name,invoice_id,purchase_order,gst_rate,gst_amount,transaction_id,gateway_reference,direction,approver_role,recipient_user_id,sender_user_id,sender_role,recipient_role,entity_type,entity_id,check,result,reason,recommended_action,message,allowance_type
employee,EMP0025,,Arjun Malhotra,ENG@example.com,,Engineering,Software Engineer,2026-05-31,,,,,,,,,,,,,65911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0026,,Aditya Goyal,MAR@example.com,,Marketing,Operations Analyst,2025-09-02,,,,,,,,,,,,,60296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0027,,Kavya Khanna,OPE@example.com,,Operations,Engineering Manager,2025-04-24,,,,,,,,,,,,,142487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0028,,Arjun Nair,HR@example.com,,HR,Software Engineer,2025-11-27,,,,,,,,,,,,,66856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0029,,Vikram Singh,SAL@example.com,,Sales,Marketing Executive,2024-04-24,,,,,,,,,,,,,60790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0030,,Rahul Reddy,MAR@example.com,,Marketing,HR Executive,2024-01-04,,,,,,,,,,,,,54696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0031,,Vikram Reddy,MAR@example.com,,Marketing,Finance Executive,2024-04-18,,,,,,,,,,,,,78891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0032,,Diya Gupta,HR@example.com,,HR,Data Analyst,2024-06-05,,,,,,,,,,,,,65984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0033,,Tanya Agarwal,HR@example.com,,HR,Finance Executive,2024-01-01,,,,,,,,,,,,,68719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0034,,Diya Jain,OPE@example.com,,Operations,Software Engineer,2024-04-24,,,,,,,,,,,,,73919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0035,,Sara Kapoor,MAR@example.com,,Marketing,Software Engineer,2024-09-03,,,,,,,,,,,,,74191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0036,,Aditya Nair,ENG@example.com,,Engineering,HR Executive,2026-04-15,,,,,,,,,,,,,66125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0037,,Nisha Nair,MAR@example.com,,Marketing,Product Manager,2025-11-06,,,,,,,,,,,,,117138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0038,,Tanya Singh,MAR@example.com,,Marketing,Sales Executive,2025-06-24,,,,,,,,,,,,,55465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0039,,Ishaan Jain,MAR@example.com,,Marketing,Finance Executive,2026-02-12,,,,,,,,,,,,,80329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0040,,Kavya Patel,OPE@example.com,,Operations,Marketing Executive,2025-03-24,,,,,,,,,,,,,58582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0041,,Aditya Agarwal,ENG@example.com,,Engineering,Data Analyst,2024-08-18,,,,,,,,,,,,,65135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0042,,Kunal Joshi,ENG@example.com,,Engineering,Engineering Manager,2025-07-21,,,,,,,,,,,,,153569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0043,,Vivaan Sethi,MAR@example.com,,Marketing,Software Engineer,2024-03-13,,,,,,,,,,,,,59058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0044,,Ananya Kapoor,ENG@example.com,,Engineering,Software Engineer,2026-05-30,,,,,,,,,,,,,73276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0045,,Nisha Bansal,HR@example.com,,HR,Data Analyst,2024-10-12,,,,,,,,,,,,,67528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0046,,Sara Joshi,HR@example.com,,HR,Product Manager,2026-01-10,,,,,,,,,,,,,127875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0047,,Nisha Singh,OPE@example.com,,Operations,Data Analyst,2026-03-14,,,,,,,,,,,,,68454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0048,,Meera Chauhan,MAR@example.com,,Marketing,Senior Software Engineer,2024-04-09,,,,,,,,,,,,,108151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0049,,Vivaan Mehta,OPE@example.com,,Operations,Operations Analyst,2025-04-23,,,,,,,,,,,,,57017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0050,,Ananya Mehta,ENG@example.com,,Engineering,Operations Analyst,2026-01-15,,,,,,,,,,,,,52041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0051,,Riya Patel,MAR@example.com,,Marketing,Data Analyst,2024-07-13,,,,,,,,,,,,,79967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0052,,Rahul Patel,MAR@example.com,,Marketing,Operations Analyst,2024-07-06,,,,,,,,,,,,,60158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0053,,Riya Mehta,MAR@example.com,,Marketing,Senior Software Engineer,2025-03-29,,,,,,,,,,,,,119161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0054,,Aarav Kapoor,ENG@example.com,,Engineering,Finance Executive,2026-05-06,,,,,,,,,,,,,84278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0055,,Nisha Mishra,MAR@example.com,,Marketing,Product Manager,2025-02-20,,,,,,,,,,,,,125936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0056,,Rohan Goyal,MAR@example.com,,Marketing,Operations Analyst,2024-03-01,,,,,,,,,,,,,62175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0057,,Aditi Jain,ENG@example.com,,Engineering,Operations Analyst,2024-09-28,,,,,,,,,,,,,50716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0058,,Nisha Malhotra,OPE@example.com,,Operations,Finance Executive,2025-11-08,,,,,,,,,,,,,71174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0059,,Vivaan Joshi,MAR@example.com,,Marketing,Sales Executive,2024-08-10,,,,,,,,,,,,,54678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0060,,Ananya Verma,HR@example.com,,HR,Software Engineer,2026-02-04,,,,,,,,,,,,,63786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0061,,Kavya Reddy,ENG@example.com,,Engineering,Engineering Manager,2025-05-03,,,,,,,,,,,,,149575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0062,,Aditya Gupta,MAR@example.com,,Marketing,Software Engineer,2025-06-04,,,,,,,,,,,,,62909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0063,,Kunal Goyal,ENG@example.com,,Engineering,Engineering Manager,2024-03-10,,,,,,,,,,,,,166077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0064,,Sara Arora,ENG@example.com,,Engineering,Engineering Manager,2024-09-09,,,,,,,,,,,,,148378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0065,,Meera Joshi,ENG@example.com,,Engineering,Engineering Manager,2024-03-24,,,,,,,,,,,,,145535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0066,,Rahul Bansal,HR@example.com,,HR,Finance Executive,2024-11-19,,,,,,,,,,,,,77675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0067,,Ira Malhotra,SAL@example.com,,Sales,Data Analyst,2024-09-28,,,,,,,,,,,,,65466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0068,,Aditya Sharma,SAL@example.com,,Sales,HR Executive,2024-11-19,,,,,,,,,,,,,66032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0069,,Arjun Kapoor,OPE@example.com,,Operations,Engineering Manager,2025-07-30,,,,,,,,,,,,,137795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0070,,Rahul Malhotra,HR@example.com,,HR,Data Analyst,2025-06-02,,,,,,,,,,,,,80270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0071,,Kunal Chauhan,SAL@example.com,,Sales,Senior Software Engineer,2026-06-19,,,,,,,,,,,,,114771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0072,,Riya Jain,SAL@example.com,,Sales,Product Manager,2025-03-24,,,,,,,,,,,,,113961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0073,,Riya Jain,HR@example.com,,HR,Finance Executive,2024-01-09,,,,,,,,,,,,,67603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0074,,Arjun Mehta,ENG@example.com,,Engineering,Product Manager,2024-09-27,,,,,,,,,,,,,132463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0075,,Vikram Arora,HR@example.com,,HR,Product Manager,2024-10-05,,,,,,,,,,,,,129205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0076,,Rahul Reddy,MAR@example.com,,Marketing,Marketing Executive,2024-07-27,,,,,,,,,,,,,62770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0077,,Vivaan Kapoor,OPE@example.com,,Operations,Sales Executive,2026-05-16,,,,,,,,,,,,,65569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0078,,Aarav Agarwal,OPE@example.com,,Operations,Sales Executive,2024-02-15,,,,,,,,,,,,,55110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0079,,Aditi Nair,MAR@example.com,,Marketing,Sales Executive,2024-06-14,,,,,,,,,,,,,59376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0080,,Arjun Kapoor,OPE@example.com,,Operations,Finance Executive,2024-01-10,,,,,,,,,,,,,69672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0081,,Diya Joshi,MAR@example.com,,Marketing,Finance Executive,2024-02-06,,,,,,,,,,,,,83683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0082,,Kabir Verma,HR@example.com,,HR,Product Manager,2025-03-16,,,,,,,,,,,,,126698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0083,,Vivaan Chauhan,SAL@example.com,,Sales,Marketing Executive,2026-03-26,,,,,,,,,,,,,56998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0084,,Arjun Chauhan,MAR@example.com,,Marketing,Data Analyst,2025-11-13,,,,,,,,,,,,,64112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0085,,Kabir Sethi,HR@example.com,,HR,Operations Analyst,2025-09-27,,,,,,,,,,,,,53776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0086,,Aarav Gupta,MAR@example.com,,Marketing,Product Manager,2025-02-26,,,,,,,,,,,,,117755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0087,,Kunal Khanna,SAL@example.com,,Sales,Operations Analyst,2026-04-01,,,,,,,,,,,,,59532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0088,,Vivaan Mishra,MAR@example.com,,Marketing,Senior Software Engineer,2025-01-26,,,,,,,,,,,,,111235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0089,,Aditi Chauhan,MAR@example.com,,Marketing,Data Analyst,2026-04-16,,,,,,,,,,,,,78526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0090,,Aarav Bansal,SAL@example.com,,Sales,Data Analyst,2024-08-16,,,,,,,,,,,,,71263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0091,,Aditya Khanna,OPE@example.com,,Operations,Marketing Executive,2024-10-12,,,,,,,,,,,,,53934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0092,,Riya Agarwal,SAL@example.com,,Sales,Finance Executive,2025-02-13,,,,,,,,,,,,,80873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0093,,Rahul Gupta,ENG@example.com,,Engineering,Senior Software Engineer,2026-06-17,,,,,,,,,,,,,114470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0094,,Arjun Arora,HR@example.com,,HR,Sales Executive,2024-02-09,,,,,,,,,,,,,62419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0095,,Ananya Singh,OPE@example.com,,Operations,Marketing Executive,2026-01-16,,,,,,,,,,,,,63379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0096,,Ira Joshi,HR@example.com,,HR,Finance Executive,2024-04-28,,,,,,,,,,,,,76758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0097,,Meera Sharma,MAR@example.com,,Marketing,Sales Executive,2024-02-15,,,,,,,,,,,,,61840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0098,,Ishaan Chauhan,HR@example.com,,HR,Finance Executive,2025-12-04,,,,,,,,,,,,,75516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0099,,Ananya Arora,OPE@example.com,,Operations,Senior Software Engineer,2025-11-11,,,,,,,,,,,,,95167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0100,,Vikram Reddy,SAL@example.com,,Sales,Senior Software Engineer,2026-01-07,,,,,,,,,,,,,97332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
